Number of nodes 2383 
     0 :  3.7500000e-01  5.0000000e-01 
     1 :  0.0000000e+00 -1.0000000e+00 
     2 : -5.0000000e-01 -5.0000000e-01 
     3 :  5.0000000e-01 -1.0000000e+00 
     4 : -5.0000000e-01  1.0000000e+00 
     5 :  5.0000000e-01  1.0000000e+00 
     6 :  3.7346985e-01  5.1949863e-01 
     7 :  3.6889642e-01  5.3858293e-01 
     8 :  3.5121357e-01  5.7335403e-01 
     9 :  3.2367909e-01  6.0097718e-01 
    10 :  3.0685623e-01  6.1132102e-01 
    11 :  2.6962136e-01  6.2345040e-01 
    12 :  2.5012426e-01  6.2499994e-01 
    13 :  2.1158281e-01  6.1895007e-01 
    14 :  1.7614013e-01  6.0084503e-01 
    15 :  1.4863448e-01  5.7314391e-01 
    16 :  1.3846567e-01  5.5643663e-01 
    17 :  1.3101546e-01  5.3831032e-01 
    18 :  1.2500033e-01  4.9971457e-01 
    19 :  1.2657866e-01  4.8019667e-01 
    20 :  1.3117865e-01  4.6118650e-01 
    21 :  1.4895358e-01  4.2641590e-01 
    22 :  1.7655761e-01  3.9885053e-01 
    23 :  1.9324185e-01  3.8862895e-01 
    24 :  2.3056844e-01  3.7651958e-01 
    25 :  2.6956570e-01  3.7654076e-01 
    26 :  2.8880211e-01  3.8117493e-01 
    27 :  3.2361189e-01  3.9897381e-01 
    28 :  3.5119983e-01  4.2662702e-01 
    29 :  3.6140684e-01  4.4331211e-01 
    30 :  3.6890089e-01  4.6143088e-01 
    31 :  3.7346985e-01  4.8050137e-01 
    32 : -2.2476183e-04 -9.8500963e-01 
    33 : -3.9955330e-04 -9.8001516e-01 
    34 : -6.2425525e-04 -9.7502270e-01 
    35 : -1.5975750e-03 -9.6006226e-01 
    36 : -2.0216447e-03 -9.5508277e-01 
    37 : -2.4954627e-03 -9.5010776e-01 
    38 : -3.5949731e-03 -9.4014978e-01 
    39 : -4.2179706e-03 -9.3519121e-01 
    40 : -4.8905010e-03 -9.3023909e-01 
    41 : -5.6124861e-03 -9.2529400e-01 
    42 : -6.3838610e-03 -9.2035637e-01 
    43 : -7.2045485e-03 -9.1542670e-01 
    44 : -8.0745886e-03 -9.1050481e-01 
    45 : -9.9637239e-03 -9.0068007e-01 
    46 : -1.2046921e-02 -8.9090466e-01 
    47 : -1.4328316e-02 -8.8115970e-01 
    48 : -1.5540541e-02 -8.7631074e-01 
    49 : -1.6801007e-02 -8.7147478e-01 
    50 : -1.8109758e-02 -8.6665160e-01 
    51 : -1.9706267e-02 -8.6101104e-01 
    52 : -2.1369993e-02 -8.5538563e-01 
    53 : -2.2863777e-02 -8.5053086e-01 
    54 : -2.4381674e-02 -8.4576898e-01 
    55 : -2.6021241e-02 -8.4080158e-01 
    56 : -2.7741145e-02 -8.3576975e-01 
    57 : -2.9406202e-02 -8.3105777e-01 
    58 : -3.1118271e-02 -8.2636266e-01 
    59 : -3.4682759e-02 -8.1702496e-01 
    60 : -3.6534821e-02 -8.1238329e-01 
    61 : -4.0377659e-02 -8.0315665e-01 
    62 : -4.2369431e-02 -7.9856946e-01 
    63 : -4.4405649e-02 -7.9400537e-01 
    64 : -4.6487322e-02 -7.8946200e-01 
    65 : -4.8614554e-02 -7.8493913e-01 
    66 : -5.3003555e-02 -7.7595943e-01 
    67 : -5.5266282e-02 -7.7150072e-01 
    68 : -5.7572756e-02 -7.6706625e-01 
    69 : -5.9923020e-02 -7.6265584e-01 
    70 : -6.2317237e-02 -7.5826916e-01 
    71 : -6.7237938e-02 -7.4956638e-01 
    72 : -6.9762617e-02 -7.4525347e-01 
    73 : -7.2330277e-02 -7.4096601e-01 
    74 : -7.4940662e-02 -7.3670443e-01 
    75 : -7.7593510e-02 -7.3246915e-01 
    76 : -8.0288557e-02 -7.2826059e-01 
    77 : -8.3025534e-02 -7.2407919e-01 
    78 : -8.5804167e-02 -7.1992535e-01 
    79 : -8.8624178e-02 -7.1579948e-01 
    80 : -9.1485286e-02 -7.1170201e-01 
    81 : -1.0031231e-01 -6.9958403e-01 
    82 : -1.0333491e-01 -6.9560420e-01 
    83 : -1.0639723e-01 -6.9165464e-01 
    84 : -1.0949878e-01 -6.8773602e-01 
    85 : -1.1263934e-01 -6.8384859e-01 
    86 : -1.1581860e-01 -6.7999273e-01 
    87 : -1.1906252e-01 -6.7613794e-01 
    88 : -1.2231852e-01 -6.7234668e-01 
    89 : -1.3231159e-01 -6.6117079e-01 
    90 : -1.3571652e-01 -6.5751270e-01 
    91 : -1.3915785e-01 -6.5388883e-01 
    92 : -1.4263522e-01 -6.5029953e-01 
    93 : -1.4614830e-01 -6.4674517e-01 
    94 : -1.4969673e-01 -6.4322610e-01 
    95 : -1.6055055e-01 -6.3288412e-01 
