Number of nodes 2984 
     0 :  2.0000000e-01  0.0000000e+00 
     1 : -2.0000000e-01  0.0000000e+00 
     2 :  1.0000000e+00  0.0000000e+00 
     3 : -1.0000000e+00  0.0000000e+00 
     4 :  2.9401997e-01  5.9600799e-02 
     5 :  1.4754090e-01  2.6121195e-01 
     6 :  8.9401997e-01  5.9600799e-02 
     7 :  3.3295109e-01  8.3184586e-01 
     8 :  3.4173440e-02  2.9804727e-01 
     9 : -2.0283468e-01  2.2103866e-01 
    10 :  2.1958364e-01  8.6868118e-01 
    11 : -6.8824488e-01  5.7370982e-01 
    12 : -2.7289963e-01  1.2460254e-01 
    13 : -2.7289963e-01 -1.2460254e-01 
    14 : -7.5830982e-01  4.7727370e-01 
    15 : -7.5830982e-01 -4.7727370e-01 
    16 : -2.0283468e-01 -2.2103866e-01 
    17 :  3.4173440e-02 -2.9804727e-01 
    18 : -6.8824488e-01 -5.7370982e-01 
    19 :  2.1958364e-01 -8.6868118e-01 
    20 :  1.4754090e-01 -2.6121195e-01 
    21 :  2.9401997e-01 -5.9600799e-02 
    22 :  3.3295109e-01 -8.3184586e-01 
    23 :  8.9401997e-01 -5.9600799e-02 
    24 :  1.9854177e-01  2.4107336e-02 
    25 :  1.9418836e-01  4.7863133e-02 
    26 :  1.8700325e-01  7.0920978e-02 
    27 :  1.7709121e-01  9.2944635e-02 
    28 :  1.6459677e-01  1.1361295e-01 
    29 :  1.4970215e-01  1.3262453e-01 
    30 :  1.3262453e-01  1.4970215e-01 
    31 :  1.1361295e-01  1.6459677e-01 
    32 :  9.2944634e-02  1.7709121e-01 
    33 :  7.0920977e-02  1.8700325e-01 
    34 :  4.7863132e-02  1.9418836e-01 
    35 :  2.4107335e-02  1.9854177e-01 
    36 : -9.3105837e-10  2.0000000e-01 
    37 : -2.4107337e-02  1.9854177e-01 
    38 : -4.7863134e-02  1.9418836e-01 
    39 : -7.0920978e-02  1.8700325e-01 
    40 : -9.2944635e-02  1.7709120e-01 
    41 : -1.1361295e-01  1.6459677e-01 
    42 : -1.3262453e-01  1.4970215e-01 
    43 : -1.4970215e-01  1.3262453e-01 
    44 : -1.6459677e-01  1.1361295e-01 
    45 : -1.7709121e-01  9.2944634e-02 
    46 : -1.8700325e-01  7.0920977e-02 
    47 : -1.9418836e-01  4.7863133e-02 
    48 : -1.9854177e-01  2.4107336e-02 
    49 : -1.9854177e-01 -2.4107336e-02 
    50 : -1.9418836e-01 -4.7863133e-02 
    51 : -1.8700325e-01 -7.0920978e-02 
    52 : -1.7709121e-01 -9.2944635e-02 
    53 : -1.6459677e-01 -1.1361295e-01 
    54 : -1.4970215e-01 -1.3262453e-01 
    55 : -1.3262453e-01 -1.4970215e-01 
    56 : -1.1361295e-01 -1.6459677e-01 
    57 : -9.2944634e-02 -1.7709121e-01 
    58 : -7.0920977e-02 -1.8700325e-01 
    59 : -4.7863132e-02 -1.9418836e-01 
    60 : -2.4107335e-02 -1.9854177e-01 
    61 :  9.3105837e-10 -2.0000000e-01 
    62 :  2.4107337e-02 -1.9854177e-01 
    63 :  4.7863134e-02 -1.9418836e-01 
    64 :  7.0920978e-02 -1.8700325e-01 
    65 :  9.2944635e-02 -1.7709120e-01 
    66 :  1.1361295e-01 -1.6459677e-01 
    67 :  1.3262453e-01 -1.4970215e-01 
    68 :  1.4970215e-01 -1.3262453e-01 
    69 :  1.6459677e-01 -1.1361295e-01 
    70 :  1.7709121e-01 -9.2944634e-02 
    71 :  1.8700325e-01 -7.0920977e-02 
    72 :  1.9418836e-01 -4.7863133e-02 
    73 :  1.9854177e-01 -2.4107336e-02 
    74 :  9.9968918e-01  2.4930692e-02 
    75 :  9.9875692e-01  4.9845886e-02 
    76 :  9.9720380e-01  7.4730094e-02 
    77 :  9.9503078e-01  9.9567847e-02 
    78 :  9.9223921e-01  1.2434370e-01 
    79 :  9.8883083e-01  1.4904227e-01 
    80 :  9.8480775e-01  1.7364818e-01 
    81 :  9.8017249e-01  1.9814614e-01 
    82 :  9.7492791e-01  2.2252093e-01 
    83 :  9.6907729e-01  2.4675740e-01 
    84 :  9.6262425e-01  2.7084047e-01 
    85 :  9.5557281e-01  2.9475518e-01 
    86 :  9.4792735e-01  3.1848665e-01 
    87 :  9.3969262e-01  3.4202014e-01 
    88 :  9.3087375e-01  3.6534103e-01 
    89 :  9.2147621e-01  3.8843480e-01 
    90 :  9.1150585e-01  4.1128710e-01 
    91 :  9.0096887e-01  4.3388374e-01 
    92 :  8.8987181e-01  4.5621066e-01 
    93 :  8.7822157e-01  4.7825398e-01 
    94 :  8.6602540e-01  5.0000000e-01 
    95 :  8.5329088e-01  5.2143520e-01 
    96 :  8.4002592e-01  5.4254627e-01 
    97 :  8.2623877e-01  5.6332006e-01 
    98 :  8.1193800e-01  5.8374367e-01 
    99 :  7.9713251e-01  6.0380441e-01 
   100 :  7.8183148e-01  6.2348980e-01 
   101 :  7.6604444e-01  6.4278761e-01 
   102 :  7.4978120e-01  6.6168584e-01 
   103 :  7.3305187e-01  6.8017274e-01 
   104 :  7.1586685e-01  6.9823682e-01 
   105 :  6.9823682e-01  7.1586685e-01 
   106 :  6.8017274e-01  7.3305187e-01 
   107 :  6.6168584e-01  7.4978120e-01 
   108 :  6.4278761e-01  7.6604444e-01 
   109 :  6.2348980e-01  7.8183148e-01 
   110 :  6.0380441e-01  7.9713251e-01 
   111 :  5.8374367e-01  8.1193801e-01 
   112 :  5.6332006e-01  8.2623878e-01 
   113 :  5.4254626e-01  8.4002592e-01 
   114 :  5.2143520e-01  8.5329088e-01 
   115 :  5.0000000e-01  8.6602541e-01 
   116 :  4.7825398e-01  8.7822157e-01 
   117 :  4.5621065e-01  8.8987181e-01 
   118 :  4.3388374e-01  9.0096887e-01 
   119 :  4.1128710e-01  9.1150585e-01 
   120 :  3.8843479e-01  9.2147621e-01 
   121 :  3.6534102e-01  9.3087375e-01 
   122 :  3.4202014e-01  9.3969262e-01 
   123 :  3.1848665e-01  9.4792735e-01 
   124 :  2.9475517e-01  9.5557281e-01 
   125 :  2.7084046e-01  9.6262425e-01 
   126 :  2.4675739e-01  9.6907729e-01 
   127 :  2.2252093e-01  9.7492791e-01 
   128 :  1.9814614e-01  9.8017249e-01 
   129 :  1.7364817e-01  9.8480775e-01 
   130 :  1.4904226e-01  9.8883083e-01 
   131 :  1.2434370e-01  9.9223921e-01 
   132 :  9.9567842e-02  9.9503078e-01 
   133 :  7.4730089e-02  9.9720380e-01 
   134 :  4.9845881e-02  9.9875692e-01 
   135 :  2.4930687e-02  9.9968918e-01 
   136 : -4.5595698e-09  1.0000000e+00 
   137 : -2.4930696e-02  9.9968918e-01 
   138 : -4.9845890e-02  9.9875692e-01 
   139 : -7.4730098e-02  9.9720380e-01 
   140 : -9.9567851e-02  9.9503077e-01 
   141 : -1.2434371e-01  9.9223921e-01 
   142 : -1.4904227e-01  9.8883083e-01 
   143 : -1.7364818e-01  9.8480775e-01 
   144 : -1.9814615e-01  9.8017249e-01 
   145 : -2.2252094e-01  9.7492791e-01 
   146 : -2.4675740e-01  9.6907729e-01 
   147 : -2.7084047e-01  9.6262425e-01 
   148 : -2.9475518e-01  9.5557280e-01 
   149 : -3.1848665e-01  9.4792735e-01 
   150 : -3.4202015e-01  9.3969262e-01 
   151 : -3.6534103e-01  9.3087375e-01 
   152 : -3.8843480e-01  9.2147621e-01 
   153 : -4.1128711e-01  9.1150585e-01 
   154 : -4.3388374e-01  9.0096887e-01 
   155 : -4.5621066e-01  8.8987181e-01 
   156 : -4.7825398e-01  8.7822157e-01 
   157 : -5.0000000e-01  8.6602540e-01 
   158 : -5.2143521e-01  8.5329088e-01 
   159 : -5.4254627e-01  8.4002592e-01 
   160 : -5.6332006e-01  8.2623877e-01 
   161 : -5.8374367e-01  8.1193800e-01 
   162 : -6.0380441e-01  7.9713251e-01 
   163 : -6.2348980e-01  7.8183148e-01 
